Name,Team,Age,IP,W,L,SV,H,R,ER,HR,BB,K,ERA,FIP,WHIP,K/BB,WAR
"<a href=""https://www.baseball-reference.com/players/h/hillca01.shtml"">Carmen Hill</a>",PIT,32,237,16,10,2,229,110,93,16,81,73,3.532,4.184,1.308,.90,3.43
"<a href=""https://www.baseball-reference.com/players/h/holleed01.shtml"">Ed Holley</a>",CHN,28,31,0,0,0,31,15,13,1,16,10,3.774,4.077,1.516,.62,.22
"<a href=""https://www.baseball-reference.com/players/h/hollibo01.shtml"">Bonnie Hollingsworth</a>",BSN,32,22&‌#8531;,0,2,0,30,19,13,2,13,10,5.239,4.844,1.925,.77,-.48
"<a href=""https://www.baseball-reference.com/players/h/holloke01.shtml"">Ken Holloway</a>",DET,30,120&‌#8531;,4,8,2,137,67,58,2,32,32,4.338,3.241,1.404,1.00,.88
"<a href=""https://www.baseball-reference.com/players/h/hoytwa01.shtml"">Waite Hoyt</a>",NYA,28,273,23,7,8,279,118,102,16,60,67,3.363,3.833,1.242,1.12,.00
"<a href=""https://www.baseball-reference.com/players/h/hubbeca01.shtml"">Carl Hubbell</a>",NY1,25,124,10,6,1,117,49,39,7,21,37,2.831,3.489,1.113,1.76,2.20
"<a href=""https://www.baseball-reference.com/players/h/hudliwi01.shtml"">Willis Hudlin</a>",CLE,22,220&‌#8531;,14,14,7,231,114,99,7,90,62,4.044,3.883,1.457,.69,3.19
"<a href=""https://www.baseball-reference.com/players/j/johnsha01.shtml"">Hank Johnson</a>",NYA,22,199,14,9,0,188,107,95,16,104,110,4.296,4.167,1.467,1.06,1.41
"<a href=""https://www.baseball-reference.com/players/j/johnsji02.shtml"">Jing Johnson</a>",PHA,33,10&‌#8532;,0,0,0,13,8,6,1,5,3,5.062,4.940,1.688,.60,-.08
"<a href=""https://www.baseball-reference.com/players/j/johnssi01.shtml"">Si Johnson</a>",CIN,21,10&‌#8531;,0,0,0,9,5,5,0,5,1,4.355,4.323,1.355,.20,.00
"<a href=""https://www.baseball-reference.com/players/j/johnssy01.shtml"">Syl Johnson</a>",SLN,27,120,8,4,3,117,53,52,6,33,66,3.900,3.179,1.250,2.00,1.83
"<a href=""https://www.baseball-reference.com/players/j/jonespe01.shtml"">Percy Jones</a>",CHN,28,154,10,6,3,167,80,69,4,56,41,4.032,3.677,1.448,.73,.37
"<a href=""https://www.baseball-reference.com/players/j/jonessa01.shtml"">Sad Sam Jones</a>",WS1,35,224&‌#8532;,17,7,0,209,89,71,5,78,63,2.844,3.680,1.277,.81,5.37
